Location,Treatment,Count,Start time,End time,Point no.
BHW,O,1,10:25,10:35,2
BHW,O,1,10:25,10:35,2
BHW,O,1,10:25,10:35,2
BHW,O,1,10:44,10:54,3
BHW,O,1,10:44,10:54,3
BHW,O,1,10:44,10:54,3
BHW,O,1,10:44,10:54,3
BHW,O,1,10:44,10:54,3
BHW,O,1,10:44,10:54,3
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:43,07:53,2
MLN,C,1,07:58,08:08,1
MLN,C,1,07:58,08:08,1
MLN,C,1,07:58,08:08,1
MLN,C,1,07:58,08:08,1
MLN,C,1,07:58,08:08,1
MLN,C,1,07:58,08:08,1
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,C,1,08:14,08:24,3
MLN,O,1,09:02,09:12,2
MLN,O,1,09:02,09:12,2
MLN,O,1,09:02,09:12,2
MLN,O,1,09:02,09:12,2
MLN,O,1,09:02,09:12,2
MLN,O,1,09:02,09:12,2
MLN,O,1,09:25,09:35,3
MLN,O,1,09:25,09:35,3
MLN,O,1,09:25,09:35,3
MLN,O,1,09:25,09:35,3
MLN,O,1,09:25,09:35,3
MLN,O,1,09:25,09:35,3
MLN,O,1,09:45,09:55,1
MLN,O,1,09:45,09:55,1
MLN,O,1,09:45,09:55,1
MLN,O,1,09:45,09:55,1
MLN,O,1,09:45,09:55,1
MLN,O,1,09:45,09:55,1
MLN,Y,1,10:18,10:28,2
MLN,Y,1,10:18,10:28,2
MLN,Y,1,10:18,10:28,2
MLN,Y,1,10:18,10:28,2
MLN,Y,1,10:18,10:28,2
MLN,Y,1,10:18,10:28,2
MLN,Y,1,10:35,10:45,1
MLN,Y,1,10:35,10:45,1
MLN,Y,1,10:35,10:45,1
MLN,Y,1,10:35,10:45,1
MLN,Y,1,10:50,11:00,3
MLN,Y,1,10:50,11:00,3
MLN,Y,1,10:50,11:00,3
MLN,Y,1,10:50,11:00,3
MLN,Y,1,10:50,11:00,3
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,07:50,08:00,2
MLS,C,1,08:06,08:16,1
MLS,C,1,08:06,08:16,1
MLS,C,1,08:06,08:16,1
MLS,C,1,08:06,08:16,1
MLS,C,1,08:06,08:16,1
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,C,1,08:21,08:31,3
MLS,O,1,09:20,09:30,3
MLS,O,1,09:20,09:30,3
