No.,Site,St_tr_pt_co,Treatment,Point,Count,CHAFF,MEAPI,REDGR,SKYLA,WILWA,WREN,BLABI,BLUTI,COATI,DUNNO,LESRE,PHEAS,ROBIN,WHITE,BLACA,GOLDC,REEBU
96,SBS,SBS_O_3_2,O,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,BHE,BHE_Y_1_1,Y,1,1,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0
98,BHE,BHE_Y_2_1,Y,2,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
99,BHE,BHE_Y_3_1,Y,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
100,BHW,BHW_Y_1_1,Y,1,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
101,BHW,BHW_Y_2_1,Y,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
102,BHW,BHW_Y_3_1,Y,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,MLN,MLN_Y_1_1,Y,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,MLN,MLN_Y_2_1,Y,2,1,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
105,MLN,MLN_Y_3_1,Y,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,MLS,MLS_Y_1_1,Y,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
107,MLS,MLS_Y_2_1,Y,2,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,MLS,MLS_Y_3_1,Y,3,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,NG,NG_Y_1_1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,NG,NG_Y_2_1,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,NG,NG_Y_3_1,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,SM,SM_Y_1_1,Y,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,SM,SM_Y_2_1,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,SM,SM_Y_3_1,Y,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,SBN,SBN_Y_1_1,Y,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,SBN,SBN_Y_2_1,Y,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,SBN,SBN_Y_3_1,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,SBS,SBS_Y_1_1,Y,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,SBS,SBS_Y_2_1,Y,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,SBS,SBS_Y_3_1,Y,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,BHE,BHE_Y_1_2,Y,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
122,BHE,BHE_Y_2_2,Y,2,2,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
123,BHE,BHE_Y_3_2,Y,3,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
124,BHW,BHW_Y_1_2,Y,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
125,BHW,BHW_Y_2_2,Y,2,2,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
126,BHW,BHW_Y_3_2,Y,3,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
127,MLN,MLN_Y_1_2,Y,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
128,MLN,MLN_Y_2_2,Y,2,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
129,MLN,MLN_Y_3_2,Y,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,MLS,MLS_Y_1_2,Y,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
131,MLS,MLS_Y_2_2,Y,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,MLS,MLS_Y_3_2,Y,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,NG,NG_Y_1_2,Y,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,NG,NG_Y_2_2,Y,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,NG,NG_Y_3_2,Y,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,SM,SM_Y_1_2,Y,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,SM,SM_Y_2_2,Y,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,SM,SM_Y_3_2,Y,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
139,SBN,SBN_Y_1_2,Y,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,SBN,SBN_Y_2_2,Y,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,SBN,SBN_Y_3_2,Y,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,SBS,SBS_Y_1_2,Y,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,SBS,SBS_Y_2_2,Y,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,SBS,SBS_Y_3_2,Y,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
